"id","nom_groupe","tags","localisation","localisation_type","begin_date_year","type"
104126,Mumbly,"french, indie pop, guitar pop, indiepop, jangle pop, pop",Paris,3,1992,2
104526,Passi,hip hop,Brazzaville,2,1972,1
105184,Line Renaud,chanson française,Nieppe,3,1928,1
105704,Yu Yu,multiple countries,Paris,3,1976,1
105742,Albin de la Simone,"french singer, chanson française",Amiens,3,1970,1
105935,Hocus Pocus,"french hip hop, conscious hip hop, jazz rap, boom bap, hip hop",Nantes,3,1995,2
106199,Bams,"hip hop, french",Cameroon,1,,1
106516,Kelly Joyce,"soul, jazz",Paris,3,1982,1
106718,Cornu,"pop rock, chanson française",Tours,3,1996,2
106892,Michel Fugain,"french, pop, ballad, chanson française",Grenoble,3,1942,1
106893,Richard Gotainer,"pop, chanson française, french",Paris,3,1948,1
106895,Romain Didier,singer-songwriter,Roma,3,1949,1
107172,Triskell,"breton folk music, folk, breton celtic folk music",Brest,3,,2
107744,Ruth,"synthwave, dark wave, minimal synth, synthwave 80s, coldwave, french pop, synth-pop",Paris,3,1982,2
108035,Vox Populi!,"dark ambient, experimental, tribal ambient, coldwave, minimal synth",Villejuif,3,1981,2
108165,Biréli Lagrène,"jazz fusion, jazz, swing, gypsy jazz, post-bop, jazz and blues",Soufflenheim,3,1966,1
111168,Michel Houellebecq,has german audiobooks,Saint-Pierre,3,1956,1
111361,Jamie McMenemy,"celtic, scottish, breton",Glasgow,3,1953,1
111383,Imhotep,hip hop,Algeria,1,1965,1
112010,Orange Street,ska,Jouy-le-Moutier,3,1997,2
112012,"8°6 Crew","skinhead reggae, ska",Paris,3,,2
112024,Percubaba,"dub, ska, french",Rennes,3,,2
112783,Gérard Lenorman,"french singer, pop, singer-songwriter, french, chanson française, chanson",Bénouville,3,1945,1
112931,One‐T,fictional,France,1,2001,2
113012,Diam’s,"francophone, hip hop, french, français, france",Nicosia,3,1980,1
114396,Treponem Pal,"industrial-metal, industrial metal",Paris,3,1989,2
115766,Calogero,"grenoble, calogero, rock, pop, echirolles",Échirolles,3,1971,1
116007,Ménélik,hip hop,Centre,2,1970,1
116577,Patrick Coutin,"rock, french, pop rock",Sfax,2,1952,1
116611,Superbus,pop rock,Paris,3,1999,2
117130,Syd Matters,"indie rock, french, indie pop",Paris,3,2002,2
118473,A.S Dragon,"psychedelic rock, pop rock, french pop, indie rock",Paris,3,,2
118474,Camille,"todo-works, french singer, european, world, chanson française, français, francophone, france, folk, french",Paris,3,1978,1
118475,Coralie Clément,"france, francophone, chanson, bossa nova, chanson française, pop, french, français",Villefranche-sur-Saône,3,1978,1
118484,Françoiz Breut,indie pop,Cherbourg-Octeville,3,1969,1
118656,Bleizi Ruz,breton,Brest,3,1973,2
118830,The Hacker,"electroclash, techno",Grenoble,3,1973,1
118996,Oxia,"dance and electronica, techno",Grenoble,3,1971,1
119020,Bernard Lavilliers,"singer-songwriter, chanson française",Saint-Étienne,3,1946,1
123784,Georges Décimus,zouk,Pointe-à-Pitre,3,1955,1
123987,Marc Jolivet,"french, humorist",Saint-Mandé,3,1950,1
125595,Antoine Hervé,jazz,Paris,3,1959,1
127451,Soon E MC,hip hop,Villeneuve-Saint-Georges,3,1970,1
127737,Aes Dana,"metal, french, black metal",Paris,3,1994,2
